x_pixels,x_angle_deg,x_mm,profile,profile_norm,smoothed,smoothed_norm,gradient
62,-2.6662475219986383,-20.955787751848167,38732.74,0.9278022,39202.33560329698,0.9390509091213022,5.837529987515154
63,-2.664089981718331,-20.938805752049262,38687.96,0.9267296,39208.16995108488,0.939190664814682,5.831165588278964
64,-2.661932433877252,-20.921823752250358,39059.11,0.9356201,39213.99793447354,0.9393302680555412,5.824801189039135
65,-2.6597748784814814,-20.904841752451453,39280.934,0.94093364,39219.819553462956,0.9394697188438792,5.818436789795669
66,-2.6576173155370966,-20.88785975265255,39284.52,0.94101954,39225.63480805313,0.9396090171796961,5.812072390559479
67,-2.655459745050179,-20.870877752853644,39111.26,0.9368694,39231.443698244075,0.9397481630629922,5.80570799131965
68,-2.653302167026807,-20.85389575305474,38884.145,0.931429,39237.24622403577,0.9398871564937671,5.799343592079822
69,-2.65114458147306,-20.836913753255836,39042.914,0.93523216,39243.042385428234,0.9400259974720212,5.792979192839994
70,-2.648986988395018,-20.81993175345693,38981.504,0.9337611,39248.83218242145,0.9401646859977542,5.786614793600165
71,-2.6468293877987614,-20.802949753658027,39237.76,0.9398995,39254.615615015435,0.9403032220709662,5.780250394360337
72,-2.6446717796903703,-20.785967753859122,39323.973,0.9419646,39260.39268321017,0.940441605691657,5.773885995120509
73,-2.6425141640759233,-20.768985754060218,39024.367,0.93478787,39266.163387005676,0.9405798368598272,5.767521595884318
74,-2.6403565409615015,-20.752003754261313,39043.688,0.9352507,39271.92772640194,0.9407179155754761,5.761157196640852
75,-2.638198910353186,-20.73502175446241,39120.26,0.9370849,39277.68570139896,0.940855841838604,5.754792797401024
76,-2.636041272257056,-20.718039754663504,39407.87,0.9439743,39283.43731199674,0.940993615649211,5.748428398164833
77,-2.633883626679193,-20.7010577548646,39242.62,0.9400159,39289.18255819529,0.9411312370072971,5.742063998921367
78,-2.6317259736256773,-20.684075755065695,38847.27,0.9305457,39294.921439994585,0.9412687059128618,5.7356995996815385
79,-2.6295683131025904,-20.66709375526679,38968.246,0.93344355,39300.65395739465,0.9414060223659059,5.729335200445348
80,-2.627410645116013,-20.650111755467886,39102.52,0.93665993,39306.380110395476,0.9415431863664289,5.72297080120552
81,-2.6252529696720255,-20.633129755668982,39302.594,0.9414525,39312.09989899706,0.9416801979144308,5.7166064019656915
82,-2.62309528677671,-20.616147755870077,39067.395,0.93581855,39317.81332319941,0.9418170570099118,5.710242002725863
83,-2.620937596436147,-20.59916575607117,39348.184,0.9425446,39323.52038300251,0.9419537636528718,5.703877603486035
84,-2.6187798986564195,-20.582183756272265,39355.562,0.9427213,39329.22107840638,0.9420903178433107,5.697513204246206
85,-2.616622193443608,-20.56520175647336,39338.977,0.94232404,39334.915409411005,0.9422267195812286,5.691148805006378
86,-2.6144644808037945,-20.548219756674456,39206.68,0.939155,39340.60337601639,0.9423629688666255,5.68478440576655
87,-2.6123067607430612,-20.53123775687555,39163.91,0.9381305,39346.28497822254,0.9424990656995015,5.678420006526721
88,-2.610149033267489,-20.514255757076647,38917.473,0.9322273,39351.960216029445,0.9426350100798564,5.672055607286893
89,-2.607991298383161,-20.497273757277743,39059.363,0.9356262,39357.62908943711,0.9427708020076903,5.665691208047065
90,-2.60583355609616,-20.480291757478838,39348.383,0.94254935,39363.29159844554,0.9429064414830032,5.659326808810874
91,-2.6036758064125674,-20.463309757679934,39350.855,0.9426086,39368.947743054734,0.9430419285057953,5.652962409571046
92,-2.6015180493384658,-20.44632775788103,39362.453,0.94288635,39374.59752326468,0.9431772630760661,5.64659801032758
93,-2.599360284879938,-20.429345758082125,39295.613,0.9412853,39380.24093907539,0.943312445193816,5.640233611087751
94,-2.597202513043067,-20.41236375828322,39194.36,0.9388599,39385.87799048686,0.9434474748590448,5.633869211851561
95,-2.5950447338339355,-20.395381758484316,39623.246,0.9491334,39391.50867749909,0.9435823520717528,5.627504812611733
96,-2.5928869472586262,-20.37839975868541,39752.473,0.9522289,39397.13300011208,0.9437170768319396,5.621140413371904
97,-2.5907291533232226,-20.361417758886507,39580.633,0.94811267,39402.750958325836,0.9438516491396056,5.614776014132076
